date,Date,black_id,white_id,WinnerID,black_goratings_id,white_goratings_id,BlackID,WhiteID,black_name,white_name,Black,White,result_code,ResultCode,result,black_rating,white_rating,BlackRating,WhiteRating,Event,source,tournament,kifu_urls,profile_urls,observation_count,perspective_count,occurrence,SameSignatureSequence,GameKey
2026-01-01,2026-01-01,1178,2130,1178,1178,2130,1178,2130,Lee Wonyoung,Oh Byeongwoo,Lee Wonyoung,Oh Byeongwoo,B,B,Black,3424,3120,3424,3120,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/914.sgf&gibonum=50174&bimg=LiWonY.jpg&wimg=OByungW.jpg | https://www.go4go.net/go/games/sgfview/125138,https://www.goratings.org/en/players/1178.html | https://www.goratings.org/en/players/2130.html,2,2,1,1,2026-01-01|1178|2130|B|1
2026-01-01,2026-01-01,1619,1090,1090,1619,1090,1619,1090,Song Jihoon,Park Junghwan,Song Jihoon,Park Junghwan,W,W,White,3490,3681,3490,3681,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/913.sgf&gibonum=50172&bimg=SongJiH.jpg&wimg=ParkJungH.jpg | https://www.go4go.net/go/games/sgfview/125137,https://www.goratings.org/en/players/1090.html | https://www.goratings.org/en/players/1619.html,2,2,1,1,2026-01-01|1619|1090|W|1
2026-01-01,2026-01-01,1926,1298,1298,1926,1298,1926,1298,Kim Eunji,Park Minkyu,Kim Eunji,Park Minkyu,W,W,White,3444,3535,3444,3535,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/912.sgf&gibonum=50173&bimg=KimEunJ.jpg&wimg=ParkMinK.jpg | https://www.go4go.net/go/games/sgfview/125136,https://www.goratings.org/en/players/1298.html | https://www.goratings.org/en/players/1926.html,2,2,1,1,2026-01-01|1926|1298|W|1
2026-01-01,2026-01-01,313,2032,2032,313,2032,313,2032,Kang Dongyun,Jin Yucheng,Kang Dongyun,Jin Yucheng,W,W,White,3565,3578,3565,3578,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/911.sgf&gibonum=50175&bimg=KangDongY.jpg&wimg=JinYuC.jpg | https://www.go4go.net/go/games/sgfview/125135,https://www.goratings.org/en/players/2032.html | https://www.goratings.org/en/players/313.html,2,2,1,1,2026-01-01|313|2032|W|1
2026-01-02,2026-01-02,1176,1627,1176,1176,1627,1176,1627,Kim Junghyun,Choi Jaeyoung,Kim Junghyun,Choi Jaeyoung,B,B,Black,3528,3470,3528,3470,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/924.sgf&gibonum=50180&bimg=KimJungH.jpg&wimg=ChoiJeY.jpg | https://www.go4go.net/go/games/sgfview/125142,https://www.goratings.org/en/players/1176.html | https://www.goratings.org/en/players/1627.html,2,2,1,1,2026-01-02|1176|1627|B|1
2026-01-02,2026-01-02,1197,1173,1173,1197,1173,1197,1173,Na Hyun,An Sungjoon,Na Hyun,An Sungjoon,W,W,White,3448,3501,3448,3501,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/922.sgf&gibonum=50178&bimg=NaHyun.jpg&wimg=AnSungJ.jpg | https://www.go4go.net/go/games/sgfview/125140,https://www.goratings.org/en/players/1173.html | https://www.goratings.org/en/players/1197.html,2,2,1,1,2026-01-02|1197|1173|W|1
2026-01-02,2026-01-02,1201,114,1201,1201,114,1201,114,Han Taehee,Weon Seongjin,Han Taehee,Weon Seongjin,B,B,Black,3382,3454,3382,3454,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/921.sgf&gibonum=50181&bimg=HanTeH.jpg&wimg=WonSungJ.jpg | https://www.go4go.net/go/games/sgfview/125139,https://www.goratings.org/en/players/114.html | https://www.goratings.org/en/players/1201.html,2,2,1,1,2026-01-02|1201|114|B|1
2026-01-02,2026-01-02,1202,1099,1202,1202,1099,1202,1099,Ryu Minhyung,Kim Seongjae,Ryu Minhyung,Kim Seongjae,B,B,Black,3390,3341,3390,3341,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/925.sgf&gibonum=50182&bimg=RyuMinH.jpg&wimg=KimSeungJ.jpg | https://www.go4go.net/go/games/sgfview/125143,https://www.goratings.org/en/players/1099.html | https://www.goratings.org/en/players/1202.html,2,2,1,1,2026-01-02|1202|1099|B|1
2026-01-02,2026-01-02,1731,1779,1779,1731,1779,1731,1779,Song Gyusang,Tu Xiaoyu,Song Gyusang,Tu Xiaoyu,W,W,White,3384,3652,3384,3652,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/923.sgf&gibonum=50179&bimg=SongGyuS.jpg&wimg=TuXiaoY.jpg | https://www.go4go.net/go/games/sgfview/125141,https://www.goratings.org/en/players/1731.html | https://www.goratings.org/en/players/1779.html,2,2,1,1,2026-01-02|1731|1779|W|1
2026-01-03,2026-01-03,1132,1620,1132,1132,1620,1132,1620,Kang Yootaek,Park Hamin,Kang Yootaek,Park Hamin,B,B,Black,3479,3423,3479,3423,GoRatings,GoRatings,GoRatings,https://www.cyberoro.com/gibo_new/giboviewer/giboviewer.asp?wh=kiwon&gibo=https://open.cyberoro.com/gibo/202601/931.sgf&gibonum=50185&bimg=KangYuT.jpg&wimg=ParkHaM.jpg | https://www.go4go.net/go/games/sgfview/125150,https://www.goratings.org/en/players/1132.html | https://www.goratings.org/en/players/1620.html,2,2,1,1,2026-01-03|1132|1620|B|1
